City,Weight,Latitude,Longitude
Mont des Alouettes,1,46.8947736,-1.0102582
Mont Revard,3,45.6819046,5.9751562
Mont Ventoux,12,44.1739649,5.2783976
Montaigu,1,49.535,3.83264
Montargis,6,47.9978628,2.7310072
Montauban,3,44.0175835,1.3549991
Montbéliard,2,47.5102368,6.7977564
Montceau-les-Mines,2,46.6740455,4.3631681
Mont-de-Marsan,1,43.8911318,-0.500972
Montélimar,4,44.5579391,4.750318
Montereau,2,47.8564484,2.5717138
Montereau-Fault-Yonne,1,48.3849647,2.9557006
Montgenèvre,2,44.9311709,6.7217996
Montgeron,2,48.7038873,2.4605107
Montlhéry,1,48.6396904,2.2710952
Montluçon,11,46.3400296,2.6073963
Montpellier,60,43.6112422,3.8767337
Montpon-Ménestérol,2,45.007394,0.161399
Montreuil,1,50.4638918,1.7631125
Mont-Saint-Michel,3,48.6359541,-1.51146
Morcenx,1,44.0323042,-0.9113736
Morlaix,1,48.5824932,-3.8331972
Morzine,34,46.1799561,6.7091057
Morzine Les Portes du Soleil,2,46.1913555,6.7769106
Mouilleron-Saint-Germain,1,46.6688226,-0.847767
Moulins,1,46.5660526,3.3331703
Mourenx,7,43.3708943,-0.6294321
Mouscron,1,50.7436672,3.2142729
Moûtiers,3,45.4849883,6.5340061
Mulhouse,26,47.7467233,7.3389937
Mûr-de-Bretagne,1,48.1960984,-2.9826183
Mûr-de-Bretagne Guerlédan,4,48.1960984,-2.9826183
Muret,3,43.4599858,1.3262332
Namur,7,50.4665284,4.8661892
Nancy,29,48.6937223,6.1834097
Nanterre,2,48.8924273,2.2071267
Nantes,54,47.2186371,-1.5541362
Nantua,2,46.1534255,5.6058987
Narbonne,17,43.1837757,3.0041906
Nay,1,43.1798743,-0.2621768
Nemours,1,48.268026,2.6953079
Neuchâtel,1,46.9895828,6.9292641
Neufchatel-en-Bray,2,49.7350035,1.4421413
Neuville-de-Poitou,1,46.6852065,0.2450626
Nevers,7,46.9876601,3.1577203
Nice,78,43.7009358,7.2683912
Nîmes,36,43.8374249,4.3600687
Niort,2,46.3239233,-0.4646064
Nogaro,1,43.7591667,-0.0327778
Nogent-sur-Marne,2,48.8387639,2.4916592
